frequency,count
USA,334
China,302
Japan,118
United Kingdom,94
France,77
Germany,69
India,67
Italy,66
South Korea,57
Turkey,56
Brazil,56
Spain,52
Canada,42
Russia,42
Poland,40
Iran,40
Australia,39
Taiwan,33
Sweden,20
Egypt,20
Mexico,17
Austria,16
Chile,16
Netherlands,14
Saudi Arabia,13
Portugal,13
Norway,13
South Africa,12
Switzerland,12
Czech Republic,12
Greece,12
Belgium,11
Thailand,10
Pakistan,10
Finland,10
Argentina,9
Israel,9
Malaysia,8
Ireland,8
New Zealand,8
Romania,8
Hungary,7
Colombia,7
Denmark,7
Vietnam,6
Ukraine,6
Tunisia,5
Nigeria,4
Serbia,4
Singapore,4
Ethiopia,4
Slovak Republic,4
Morocco,4
Croatia,4
Philippines,3
Indonesia,3
United Arab Emirates,3
Lithuania,3
Estonia,3
Georgia,3
Slovenia,3
Ghana,2
Qatar,2
Jordan,2
Northern Cyprus,2
Sri Lanka,2
Peru,2
Cyprus,2
Latvia,2
Belarus,2
Algeria,2
Bulgaria,2
Lebanon,2
Kenya,1
Oman,1
Azerbaijan,1
Costa Rica,1
Kuwait,1
Luxembourg,1
Iceland,1
Armenia,1
Uganda,1
Uruguay,1
Cameroon,1
Malta,1
Zambia,1
Malawi,1
Bangladesh,1
Venezuela,1
Nepal,1
Tanzania,1
Kazakhstan,1
Zimbabwe,1
North Macedonia,1
Ecuador,1
Palestine,1
