frequency,count
United States,450
China,219
Japan,145
United Kingdom,53
South Korea,45
India,43
France,41
Canada,39
Hong Kong,36
Taiwan,34
Germany,33
Switzerland,32
Australia,24
Brazil,20
Sweden,19
Italy,19
Ireland,17
Spain,17
Netherlands,17
Saudi Arabia,14
Mexico,12
Thailand,11
United Arab Emirates,11
Singapore,10
Denmark,9
Finland,8
Malaysia,7
Israel,7
Norway,7
Turkey,6
South Africa,6
Chile,6
Luxembourg,5
Belgium,5
Greece,5
Austria,5
Qatar,4
Philippines,4
Bermuda,4
Indonesia,4
Poland,4
Vietnam,3
Portugal,3
Colombia,3
Kuwait,2
Hungary,2
Morocco,2
Argentina,1
Peru,1
Uruguay,1
Czech Republic,1
Cayman Islands,1
Kazakhstan,1
Nigeria,1
Jordan,1
